Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Road,4,4,3,5,4724,1
A,Ship,3,4,3,23,1527,1
F,Ship,6,5,5,26,3897,1
F,Road,4,2,2,3,4090,1
F,Flight,4,5,3,65,2267,1
C,Ship,4,2,2,11,3985,1
F,Road,4,1,6,41,2047,1
F,Flight,6,4,4,7,1485,0
C,Ship,3,3,3,1,5168,0
B,Flight,5,2,3,3,5303,1
D,Ship,5,3,4,10,5382,1
F,Ship,5,1,5,5,1358,1
F,Ship,3,2,2,6,5702,1
A,Ship,4,5,8,39,1411,1
F,Ship,5,1,6,2,1258,1
F,Ship,3,2,4,10,4560,1
D,Ship,5,4,3,2,5260,1
F,Ship,6,3,3,3,5062,0
F,Flight,5,5,5,10,1789,1
F,Ship,3,4,3,2,5464,0
F,Road,3,1,6,42,3715,1
D,Ship,6,4,4,3,1182,0
C,Flight,3,1,3,3,4137,0
D,Flight,6,2,4,7,1943,0
B,Ship,5,5,2,18,1134,1
B,Ship,5,3,2,7,5219,0
F,Ship,4,2,2,1,4977,0
C,Ship,3,1,4,47,3111,1
F,Ship,5,4,3,55,2758,1
B,Road,3,5,3,3,4252,1
F,Ship,5,2,4,7,4424,0
B,Road,6,1,5,3,5299,1
F,Ship,4,1,2,1,5578,0
B,Flight,4,1,2,10,4230,1
B,Ship,4,4,3,8,4430,0
F,Ship,5,2,4,8,1631,1
C,Ship,3,4,2,9,4278,0
A,Road,5,2,4,39,1204,1
D,Flight,3,5,2,4,4495,0
F,Ship,6,5,6,7,2709,1
F,Road,3,4,3,50,1865,1
D,Flight,5,4,3,59,3978,1
D,Flight,4,2,5,20,3098,1
F,Road,4,4,3,41,3280,1
C,Ship,2,5,3,3,4320,1
D,Ship,3,3,2,18,1225,1
D,Ship,3,5,3,55,1875,1
C,Road,6,5,7,9,5991,1
F,Ship,3,2,3,56,1136,1
B,Ship,4,5,2,3,4379,1
F,Ship,4,3,2,17,3125,1
C,Ship,5,4,6,6,1488,1
C,Flight,6,1,3,36,2536,1
F,Road,3,2,2,9,5116,0
F,Ship,3,5,3,2,3459,1
A,Ship,5,5,3,5,5084,0
B,Flight,5,3,3,7,4994,0
F,Ship,5,4,3,1,4369,0
B,Flight,4,1,2,7,5864,0
F,Road,5,1,3,20,1387,1
C,Flight,2,1,2,1,4135,1
B,Road,3,5,2,7,5536,0
D,Road,4,1,3,59,2563,1
B,Ship,4,5,2,1,5682,1
F,Ship,4,4,2,5,5624,0
A,Ship,5,1,2,4,1092,1
B,Ship,3,1,3,28,1075,1
F,Ship,3,1,10,5,5375,0
A,Flight,3,1,3,8,4650,1
C,Ship,4,3,5,9,1080,0
A,Flight,4,3,4,7,5140,0
C,Road,4,4,3,4,5857,0
F,Ship,4,3,3,6,5379,1
C,Ship,6,5,4,9,1789,1
A,Ship,3,1,4,35,3648,1
F,Ship,3,3,3,27,2052,1
C,Ship,5,5,4,2,5359,0
F,Flight,3,3,3,14,2164,1
F,Road,5,2,5,8,1367,0
F,Ship,5,4,2,7,4413,0
F,Ship,4,5,7,2,4299,0
F,Flight,5,2,3,10,5598,0
D,Flight,3,4,2,35,2741,1
C,Flight,3,4,2,8,4837,0
D,Flight,7,4,4,10,1033,0
F,Ship,5,3,3,10,4524,1
F,Ship,3,1,2,2,4129,0
C,Ship,3,1,3,10,4358,1
F,Ship,3,5,4,23,1347,1
B,Ship,3,3,5,5,4643,0
F,Flight,5,3,5,6,1119,1
D,Ship,6,5,4,9,1460,0
F,Ship,5,5,5,46,1275,1
D,Ship,3,2,5,36,2717,1
F,Ship,6,2,4,9,1258,1
B,Flight,3,2,4,49,3179,1
A,Ship,4,3,2,10,4875,0
F,Ship,3,2,6,3,5689,1
B,Ship,3,4,3,8,3710,1
B,Road,4,4,2,3,5692,1
A,Flight,4,5,5,2,1441,0
D,Ship,2,2,3,3,4129,1
B,Road,4,3,2,1,5398,0
A,Ship,4,2,3,7,5967,1
C,Ship,4,4,6,5,4494,1
D,Ship,5,4,2,1,3709,1
D,Ship,4,4,3,55,2782,1
A,Ship,2,3,4,20,3135,1
D,Flight,2,5,4,4,4042,1
F,Flight,6,5,4,7,1099,1
F,Ship,4,1,4,5,5182,0
A,Flight,3,1,2,7,4375,0
F,Ship,3,2,4,62,1090,1
F,Ship,4,2,3,5,5174,0
A,Ship,4,2,3,5,5757,0
B,Road,5,1,6,5,1078,0
C,Ship,4,3,3,1,5717,1
D,Ship,5,4,6,35,1082,1
F,Ship,6,4,4,5,1639,1
D,Ship,3,3,4,3,5828,0
C,Ship,5,3,3,54,2905,1
F,Ship,4,2,3,2,5028,1
A,Ship,5,2,3,4,4324,0
D,Ship,3,3,2,4,4254,1
F,Ship,3,3,3,9,5279,0
D,Ship,3,2,4,21,1636,1
B,Flight,3,1,3,1,4705,0
D,Ship,5,2,3,3,5266,1
B,Ship,4,3,2,7,4423,0
D,Ship,7,3,4,10,1211,0
D,Ship,6,5,4,6,1185,0
A,Road,5,2,5,1,1483,0
D,Ship,3,1,2,1,5749,0
F,Ship,5,3,4,8,5868,0
A,Road,3,4,5,9,5759,0
F,Ship,6,4,4,4,1831,1
F,Ship,4,5,2,2,5776,0
C,Ship,3,4,4,10,4235,0
C,Ship,5,1,2,8,5198,1
F,Ship,4,3,3,8,5298,1
A,Ship,4,2,3,10,3517,1
A,Ship,5,2,5,10,1113,1
B,Ship,4,2,2,48,2371,1
F,Ship,3,1,3,6,5832,0
B,Road,4,4,5,5,1065,1
F,Ship,5,3,2,6,5863,1
A,Road,3,5,2,1,4133,0
D,Flight,3,4,2,5,4261,1
C,Ship,3,4,2,9,5940,0
A,Ship,3,4,2,33,2021,1
F,Flight,5,2,5,10,1568,0
D,Road,6,2,6,3,5967,1
D,Ship,4,1,2,5,5072,1
F,Ship,5,2,3,9,5920,0
A,Road,3,5,3,3,2268,1
D,Flight,6,1,3,2,4892,0
C,Ship,4,5,3,7,4363,0
B,Ship,4,5,5,6,4450,0
C,Ship,5,1,2,8,4485,1
D,Ship,3,3,3,4,4111,1
A,Ship,4,3,7,9,5652,1
F,Road,2,4,3,5,1920,1
B,Ship,5,1,4,3,1499,0
A,Ship,4,1,3,37,2042,1
B,Flight,3,2,2,1,4978,0
F,Flight,7,4,4,6,1265,0
A,Ship,4,4,5,1,4753,0
F,Ship,4,2,6,4,1644,1
A,Flight,4,5,3,7,5383,0
F,Road,6,4,4,6,1890,1
F,Ship,5,5,6,26,1184,1
D,Ship,3,1,3,6,4163,0
A,Ship,4,1,3,7,4314,1
D,Ship,4,3,3,1,5282,0
D,Ship,4,3,3,65,3578,1
F,Ship,4,4,3,5,4440,0
C,Ship,5,1,2,7,4944,1
C,Flight,3,2,5,5,4130,1
D,Ship,4,2,3,1,4076,0
D,Ship,3,3,3,23,3764,1
F,Road,4,2,2,10,5783,0
D,Ship,3,3,6,10,1116,0
F,Ship,3,5,10,2,5042,0
F,Flight,4,4,3,10,4919,0
A,Ship,6,4,5,53,3169,1
D,Ship,4,4,3,1,4266,0
A,Road,5,5,2,6,4934,0
F,Road,5,5,3,32,1798,1
A,Ship,5,5,2,6,4788,1
D,Ship,5,4,6,8,1327,1
D,Ship,7,3,4,7,1427,0
F,Flight,3,1,6,5,4374,1
A,Ship,3,5,3,2,4242,0
B,Ship,3,3,3,1,5700,0
F,Road,4,4,3,5,5029,1
F,Ship,3,5,2,4,4352,0
F,Ship,4,2,3,3,5154,1
C,Ship,6,3,4,9,1515,1
F,Ship,4,1,6,7,1292,0
C,Road,5,2,5,6,1059,0
F,Ship,5,3,3,3,4056,0
B,Ship,3,3,2,5,4255,1
C,Ship,5,1,5,4,1348,1
A,Ship,3,2,3,6,4056,0
F,Flight,7,1,4,9,1150,1
B,Ship,4,2,7,56,3925,1
C,Ship,2,4,4,1,3624,1
F,Ship,3,1,3,10,4546,0
F,Ship,4,5,2,63,3401,1
F,Ship,3,4,4,17,2666,1
F,Ship,4,2,2,27,3393,1
A,Ship,5,5,4,5,5987,1
C,Ship,5,4,6,6,1483,1
C,Flight,5,2,2,8,4767,0
C,Ship,4,4,3,36,2111,1
D,Flight,5,1,6,8,4944,1
F,Flight,7,2,4,4,1321,0
A,Road,6,1,6,7,4014,1
F,Flight,3,3,2,62,1366,1
F,Ship,4,3,3,21,1588,1
F,Flight,5,3,5,8,5833,1
F,Ship,3,1,2,6,1435,1
B,Ship,4,2,4,13,2495,1
D,Road,6,1,3,8,5976,1
A,Ship,3,3,2,10,4061,1
D,Flight,6,4,4,2,1051,1
F,Ship,3,4,7,43,2620,1
F,Ship,3,4,3,9,5514,1
B,Ship,5,4,6,7,5509,1
B,Flight,6,5,4,4,1648,1
F,Ship,3,1,3,6,4488,1
F,Ship,4,3,3,46,3641,1
B,Ship,4,2,2,7,4470,1
F,Ship,3,1,2,7,4506,1
A,Road,3,1,2,2,1104,1
B,Ship,5,1,4,48,1322,1
D,Road,2,3,8,61,1240,1
F,Road,5,1,4,2,4615,0
F,Ship,4,3,2,52,3578,1
F,Ship,5,5,4,1,4393,1
C,Flight,3,4,3,10,4327,1
C,Ship,4,3,2,5,5724,1
D,Flight,6,4,4,10,5088,0
D,Flight,3,3,3,12,1900,1
F,Ship,6,4,4,4,1451,0
F,Flight,3,1,3,10,5726,0
A,Road,3,5,4,3,4212,1
F,Ship,6,5,4,6,1864,1
B,Road,5,2,4,4,4066,0
F,Ship,4,3,3,28,1809,1
C,Ship,3,4,3,5,5872,0
F,Ship,5,3,4,1,4583,0
C,Ship,3,1,3,10,4200,0
C,Ship,5,3,4,4,5278,1
F,Road,3,4,3,6,4586,1
B,Ship,6,1,4,10,5254,1
B,Ship,2,5,5,1,4426,0
B,Ship,3,3,3,8,5929,0
F,Flight,5,5,4,47,3644,1
D,Ship,4,5,3,3,4430,1
B,Ship,4,4,4,7,4953,1
F,Road,3,4,3,7,1946,0
F,Ship,4,4,5,1,1927,1
A,Flight,5,3,5,5,1842,0
A,Ship,5,5,6,5,1382,1
C,Road,3,3,3,7,5976,0
F,Ship,3,2,3,9,4163,0
A,Flight,4,5,2,9,5135,1
B,Ship,4,5,3,12,1672,1
B,Ship,4,5,3,2,5272,0
D,Flight,3,4,3,52,1755,1
F,Road,5,3,3,8,5131,0
F,Flight,5,4,4,40,3303,1
C,Ship,6,4,3,4,4549,1
C,Ship,5,1,4,4,1853,0
F,Ship,5,4,2,6,4547,0
C,Flight,3,5,3,34,3595,1
C,Ship,5,2,3,5,5950,1
F,Ship,4,2,4,8,5385,0
F,Ship,4,2,4,3,4956,1
B,Flight,6,3,3,6,4594,0
A,Road,6,3,5,10,4576,1
A,Ship,3,4,2,49,1942,1
A,Ship,4,4,3,60,2777,1
B,Flight,4,4,2,30,1130,1
A,Ship,3,2,3,1,5026,1
F,Ship,5,4,6,3,4638,0
A,Road,5,3,6,3,1321,0
A,Ship,4,4,4,46,3599,1
F,Ship,3,1,4,64,2026,1
F,Ship,3,5,10,41,3015,1
D,Flight,4,1,4,5,5934,0
D,Ship,3,5,3,60,1122,1
F,Ship,3,5,3,3,5658,0
C,Road,5,1,4,4,2718,1
F,Ship,3,2,4,49,1973,1
F,Ship,5,5,6,2,4915,1
A,Ship,3,1,3,8,5221,1
F,Road,7,2,4,7,1383,1
C,Ship,3,3,2,5,5058,0
F,Road,4,3,8,8,4065,1
A,Ship,3,1,3,2,5154,1
C,Ship,5,3,5,2,1510,1
A,Flight,4,2,2,8,5243,1
C,Flight,5,5,3,10,5121,1
A,Ship,4,1,2,3,5665,1
B,Ship,3,4,2,14,3693,1
F,Ship,5,3,2,61,3341,1
A,Ship,4,1,8,7,4576,0
A,Road,3,5,8,9,4436,1
A,Flight,4,5,5,3,4191,1
F,Flight,3,5,4,10,4151,0
C,Road,4,3,10,9,4179,0
F,Flight,5,4,4,2,5215,0
C,Ship,4,5,2,4,5512,0
C,Flight,6,2,5,4,1303,0
A,Ship,4,4,3,3,4185,1
F,Ship,5,3,5,7,1090,0
B,Flight,5,3,5,4,1123,0
F,Ship,5,1,3,19,1420,1
D,Ship,3,4,4,6,5207,0
A,Ship,2,3,2,4,5052,1
F,Ship,4,3,3,7,4810,1
F,Road,3,5,2,8,5146,0
F,Flight,5,2,4,6,5596,0
F,Ship,4,3,3,8,4861,0
F,Ship,4,2,2,8,4907,1
C,Ship,3,5,2,10,4462,1
F,Ship,3,1,3,5,5043,0
B,Ship,5,5,3,7,4078,1
F,Ship,6,1,2,3,1340,0
C,Ship,3,3,2,10,5032,0
B,Road,4,2,6,5,1689,0
D,Road,4,2,5,5,1073,1
C,Ship,3,1,2,2,5815,0
D,Ship,7,5,4,8,1148,1
F,Ship,3,2,3,3,5779,1
D,Flight,3,3,3,1,4006,1
A,Ship,3,3,4,4,4662,1
B,Ship,4,2,3,30,1805,1
B,Ship,4,2,2,7,5764,0
F,Ship,5,5,5,52,1644,1
D,Ship,7,2,5,10,1722,1
B,Road,7,1,4,8,1339,0
F,Ship,4,2,3,54,1506,1
A,Ship,3,3,2,1,4768,0
F,Flight,4,5,2,5,4776,1
F,Ship,4,3,7,3,4878,1
A,Ship,4,1,4,7,1130,1
D,Ship,5,1,3,8,5306,1
A,Ship,5,3,2,10,5149,0
A,Ship,5,5,2,2,4125,1
F,Flight,5,4,4,61,3063,1
F,Flight,4,4,4,14,2932,1
A,Ship,5,3,4,8,5362,0
F,Ship,2,2,2,9,4318,0
F,Ship,6,2,4,1,1150,1
F,Road,5,3,3,1,4186,1
F,Ship,2,1,3,7,5990,1
F,Road,4,5,3,8,5576,0
A,Flight,4,1,2,9,4808,1
B,Flight,5,1,5,2,1798,0
D,Ship,3,5,2,5,1023,0
F,Ship,3,2,5,8,5084,0
D,Ship,4,4,4,2,3830,1
A,Ship,3,2,7,10,4244,1
A,Ship,3,5,3,20,1772,1
C,Ship,4,3,3,2,4410,0
F,Ship,3,3,2,16,2466,1
F,Ship,3,5,3,28,1815,1
F,Road,4,5,2,20,1360,1
F,Road,6,5,6,60,1971,1
F,Road,4,2,3,44,1873,1
F,Ship,4,3,3,42,2332,1
C,Ship,4,4,3,8,4893,0
F,Ship,4,5,2,46,3076,1
F,Ship,6,4,4,5,1972,1
F,Flight,4,4,3,8,4066,1
F,Flight,5,5,2,8,4283,0
B,Flight,3,1,3,13,1861,1
F,Ship,4,5,2,36,3548,1
A,Ship,5,5,4,9,1215,1
F,Flight,5,3,5,10,1699,1
F,Flight,4,1,4,2,4133,1
D,Ship,4,4,2,6,5984,0
A,Flight,5,5,3,5,4949,0
C,Ship,4,4,5,10,1316,0
F,Road,3,4,3,4,4756,1
F,Ship,2,4,6,9,4388,0
B,Ship,4,2,4,4,5418,1
F,Ship,7,5,4,2,1826,1
D,Flight,5,5,2,19,1936,1
F,Ship,5,5,4,3,4433,1
C,Road,4,3,3,43,3498,1
A,Ship,5,3,3,5,5663,0
B,Flight,3,5,4,7,4458,0
A,Road,4,4,3,51,2892,1
A,Ship,3,3,3,7,4611,0
F,Ship,5,3,3,3,4343,0
B,Ship,5,3,3,5,1772,1
D,Ship,4,1,3,54,3972,1
D,Flight,4,4,3,5,4440,0
C,Ship,6,2,4,1,1857,1
B,Flight,4,2,4,40,1102,1
A,Ship,3,5,10,1,4929,1
C,Flight,4,1,2,21,1075,1
C,Flight,4,2,2,39,2520,1
A,Ship,3,3,6,6,1771,1
F,Ship,4,4,7,22,2065,1
F,Road,6,1,4,7,1372,1
C,Ship,4,4,3,1,5743,0
F,Ship,5,2,5,4,1509,1
D,Ship,3,4,5,4,4483,0
C,Ship,6,5,5,10,4140,0
D,Ship,2,3,2,5,5050,0
F,Road,4,1,5,7,5738,0
A,Ship,6,1,4,7,1767,0
F,Ship,4,1,5,22,3075,1
F,Ship,3,4,2,49,2643,1
F,Ship,5,1,5,7,1871,1
A,Road,4,5,3,40,3200,1
F,Flight,4,3,5,8,4209,1
F,Ship,5,3,2,1,4533,0
A,Ship,4,4,2,7,5190,1
A,Ship,5,5,8,10,5759,1
B,Ship,3,1,2,2,3949,1
B,Ship,4,3,3,6,5447,0
A,Ship,4,4,5,9,1947,1
B,Road,4,5,2,8,4450,1
B,Ship,3,1,2,8,5602,1
F,Ship,5,1,5,10,1373,1
C,Road,6,2,4,5,1836,0
F,Road,4,5,3,7,5891,0
C,Ship,3,2,7,3,5936,0
B,Flight,3,1,3,9,4890,1
C,Ship,6,3,4,3,1033,0
A,Flight,3,5,3,5,5750,0
F,Ship,4,1,2,2,5022,0
A,Ship,2,1,2,24,2130,1
D,Ship,5,2,4,1,5810,0
C,Road,4,4,5,5,4823,1
F,Ship,3,2,3,10,5803,0
F,Ship,3,1,2,62,3398,1
D,Road,5,4,3,15,2522,1
C,Ship,3,2,3,40,1173,1
F,Flight,3,1,3,9,4511,0
C,Flight,5,3,2,55,3308,1
D,Ship,2,1,3,15,1522,1
B,Ship,4,2,3,7,5121,0
A,Flight,3,5,10,6,4380,0
F,Ship,4,5,4,10,4126,1
F,Ship,6,5,4,1,1957,1
F,Ship,4,2,3,9,4102,1
B,Ship,4,2,3,45,2486,1
B,Flight,3,4,3,8,1567,1
A,Ship,6,4,4,8,1867,0
C,Road,4,5,2,15,2457,1
D,Road,4,4,2,1,4519,0
B,Road,5,1,2,23,1479,1
D,Ship,4,4,7,3,5672,1
D,Ship,3,1,4,6,5926,1
F,Road,3,4,10,7,4699,0
B,Ship,4,2,3,9,5735,0
F,Ship,3,5,3,7,4126,0
A,Ship,7,3,4,8,1909,1
F,Road,3,2,2,26,1793,1
F,Ship,3,3,3,8,4742,0
A,Flight,5,2,2,2,5643,1
B,Ship,3,1,3,2,5828,1
F,Flight,6,2,4,2,1893,1
C,Road,3,5,3,52,1513,1
B,Ship,4,1,2,7,5967,0
C,Ship,3,3,3,1,5186,0
B,Ship,5,2,5,10,1059,0
F,Ship,7,2,4,3,1070,1
F,Ship,4,5,3,17,3085,1
F,Ship,6,2,4,6,1016,1
F,Road,4,1,2,9,4359,0
B,Flight,4,1,3,2,4353,1
D,Ship,3,1,2,1,5190,1
C,Ship,3,1,3,60,2596,1
F,Ship,3,1,3,3,5961,0
F,Ship,3,5,3,10,4639,1
A,Ship,6,3,4,7,1599,1
B,Ship,5,3,2,2,4219,0
A,Ship,3,1,3,10,4120,0
B,Ship,4,2,2,10,4898,1
C,Ship,3,5,3,2,2456,1
B,Ship,2,3,3,1,5910,0
C,Ship,7,2,3,43,1793,1
B,Ship,6,3,2,1,4747,0
F,Ship,2,2,6,9,4972,1
C,Ship,5,1,2,10,4264,0
D,Ship,3,5,4,26,1769,1
F,Ship,4,2,3,6,5616,1
F,Ship,2,4,2,3,5850,1
A,Ship,4,2,3,5,5226,0
F,Road,3,3,2,7,4960,0
A,Road,2,1,3,8,4522,1
B,Ship,3,4,3,6,5565,0
B,Flight,5,2,3,2,4058,1
F,Ship,4,4,5,2,1175,1
C,Ship,3,1,3,1,4949,1
F,Ship,6,3,4,5,1784,0
A,Ship,5,2,6,2,1851,0
A,Ship,5,1,2,1,4643,0
C,Flight,4,2,2,6,2965,1
B,Road,6,5,2,7,4359,1
C,Ship,3,1,3,17,2624,1
B,Ship,2,4,2,5,4010,1
B,Flight,3,5,3,4,5189,1
A,Ship,4,1,5,51,2669,1
A,Road,4,5,5,32,1055,1
D,Ship,4,2,3,3,4661,1
B,Road,5,4,5,6,4417,1
F,Ship,4,4,2,9,4605,0
F,Flight,5,1,4,2,5600,0
A,Road,4,1,2,6,5737,0
C,Ship,6,5,4,4,4032,0
F,Ship,4,1,4,1,5057,0
B,Ship,5,2,5,8,1018,1
C,Flight,4,5,2,1,4155,0
B,Road,5,1,5,1,1146,0
B,Ship,3,5,3,7,4411,1
F,Road,6,5,4,31,3774,1
C,Road,5,5,5,5,1787,0
D,Ship,3,2,2,44,1212,1
C,Ship,3,3,2,57,1096,1
C,Ship,3,2,3,8,4093,0
F,Ship,3,5,2,3,5039,0
C,Flight,4,3,2,4,5942,1
F,Road,4,3,3,4,4793,1
B,Ship,4,3,5,5,1329,0
A,Ship,2,5,3,9,4185,0
F,Road,4,5,10,7,5340,0
C,Ship,3,2,2,4,5864,0
C,Ship,5,5,4,10,5676,1
A,Ship,4,1,5,6,1510,1
D,Ship,4,1,5,2,1912,0
C,Ship,3,5,4,10,5066,0
F,Ship,5,1,5,3,4966,0
F,Ship,5,4,2,36,3819,1
C,Ship,3,2,7,5,4716,0
C,Flight,3,3,5,5,4292,0
A,Road,4,2,2,23,1019,1
B,Ship,3,2,4,15,1318,1
F,Road,5,2,6,5,1951,0
C,Ship,6,2,4,1,1513,0
C,Ship,3,3,5,35,2988,1
F,Road,4,3,2,2,5588,0
A,Ship,6,5,3,35,2374,1
F,Flight,3,3,4,7,5974,1
B,Flight,4,3,3,58,2579,1
F,Ship,4,4,4,63,1293,1
F,Flight,3,4,3,8,5214,0
F,Flight,3,4,3,10,5261,0
A,Road,4,3,4,50,3990,1
D,Ship,4,5,3,55,3257,1
D,Flight,3,3,2,4,4746,0
D,Ship,3,3,4,22,2942,1
A,Road,4,4,3,5,4892,0
F,Ship,4,2,3,8,5865,0
C,Ship,4,3,3,57,3599,1
C,Ship,2,1,2,6,5250,0
B,Road,5,3,2,5,5666,0
F,Ship,3,1,3,10,5633,0
A,Ship,5,1,6,4,1705,0
F,Ship,4,3,5,8,1265,0
C,Road,4,2,2,54,3065,1
D,Ship,4,2,3,7,4477,1
C,Road,4,4,3,6,4254,0
B,Ship,3,3,3,3,4970,0
F,Road,5,4,2,3,5347,1
F,Ship,3,1,3,9,5184,0
D,Ship,6,5,5,2,4361,1
D,Ship,3,2,3,1,4918,1
F,Ship,5,4,5,6,1551,0
F,Ship,2,4,3,2,5893,1
F,Ship,3,1,3,6,5101,0
D,Road,4,4,2,8,4239,0
A,Flight,3,3,2,9,5554,1
A,Ship,4,2,5,10,1340,0
C,Ship,5,2,4,5,5090,0
A,Road,4,4,6,3,5459,0
F,Road,4,4,5,8,4793,0
F,Flight,4,2,5,8,1122,1
C,Ship,3,3,2,7,4501,0
C,Ship,3,2,3,5,5941,0
F,Ship,4,4,3,9,4469,0
A,Ship,5,2,2,1,5724,0
D,Ship,3,2,2,7,5357,0
A,Road,3,1,3,8,4002,0
C,Ship,5,3,3,6,5231,1
D,Ship,4,1,3,40,2225,1
A,Ship,3,5,3,2,4219,0
A,Ship,4,2,3,10,5137,1
A,Ship,5,5,3,10,5163,0
A,Ship,4,5,3,4,5017,0
A,Flight,3,2,3,5,3861,1
A,Road,4,2,3,7,4766,0
F,Flight,4,1,3,3,4409,1
C,Ship,4,2,2,5,5608,1
F,Ship,3,3,3,9,4459,1
F,Road,5,2,3,9,4298,1
C,Flight,3,4,2,12,2888,1
F,Ship,3,3,3,2,4221,0
D,Road,5,5,5,4,1311,0
F,Road,4,3,2,37,1597,1
C,Ship,2,4,5,2,4303,1
F,Flight,5,5,5,2,1657,0
C,Ship,4,5,2,44,3218,1
F,Ship,3,2,2,12,1817,1
C,Flight,3,2,8,9,4908,0
F,Ship,6,1,4,4,1449,1
D,Ship,6,5,4,10,1553,0
C,Ship,5,3,8,9,2741,1
B,Ship,4,1,3,39,2427,1
B,Ship,3,4,2,7,4024,0
F,Ship,4,1,3,8,4890,1
B,Ship,5,2,2,8,1665,1
F,Ship,4,4,4,27,3436,1
A,Ship,4,4,2,7,1188,1
A,Flight,5,3,5,1,1196,0
F,Ship,3,5,3,7,5318,1
C,Ship,4,4,3,4,5082,1
C,Ship,3,2,4,3,5449,1
B,Road,6,3,4,9,1479,1
C,Road,4,5,3,5,5785,1
C,Ship,4,2,3,12,2273,1
C,Ship,4,3,3,5,5791,0
D,Ship,2,4,3,8,5668,1
B,Ship,4,4,5,2,1690,1
F,Flight,4,3,5,4,1470,0
D,Road,4,4,4,65,2280,1
D,Ship,3,2,3,55,3952,1
F,Ship,3,1,3,25,3689,1
F,Ship,5,3,5,6,1028,0
A,Ship,5,4,2,10,3549,1
D,Road,5,2,7,57,2708,1
F,Ship,5,5,8,44,1547,1
B,Ship,6,5,4,3,1710,1
D,Ship,3,2,2,6,4853,0
F,Ship,3,5,4,9,5311,0
B,Flight,3,5,2,8,4567,0
F,Flight,3,2,6,7,1674,1
F,Ship,5,3,2,6,5033,0
F,Flight,4,1,3,6,4558,0
D,Flight,5,5,2,44,1561,1
D,Ship,6,1,7,7,2338,1
A,Ship,3,2,2,10,4715,1
C,Road,4,4,5,7,4622,0
A,Ship,6,3,5,1,1271,0
D,Flight,4,5,2,4,5428,0
F,Road,6,3,4,1,5204,0
D,Ship,5,1,3,6,4044,1
C,Road,4,3,3,62,2587,1
A,Flight,3,4,2,51,2628,1
A,Ship,4,3,3,64,1814,1
A,Ship,4,3,4,3,3889,1
F,Ship,5,3,6,7,1064,0
C,Road,6,2,5,6,1118,0
F,Ship,6,1,4,5,5121,0
A,Ship,5,1,2,52,1012,1
B,Ship,5,2,5,5,1015,0
A,Ship,4,3,2,45,2732,1
F,Road,5,2,4,3,5578,0
A,Flight,5,1,3,21,2351,1
F,Ship,5,5,3,4,1716,1
A,Ship,3,3,3,3,5746,1
D,Road,6,1,3,7,4733,1
F,Ship,2,4,2,17,1686,1
B,Road,4,1,3,36,2211,1
C,Ship,3,1,4,1,4195,0
B,Road,2,5,2,4,4473,1
F,Road,4,3,6,6,1552,0
B,Ship,3,5,4,3,5051,0
C,Ship,4,2,3,9,5896,0
D,Flight,5,2,3,4,4475,1
A,Ship,5,4,2,2,4190,1
F,Ship,6,2,4,10,1983,1
F,Ship,4,1,3,4,5299,0
A,Flight,3,4,4,10,5537,0
A,Flight,4,3,3,33,1330,1
F,Ship,3,1,3,9,5004,0
B,Ship,5,2,6,3,3234,1
C,Ship,6,5,8,2,4271,1
F,Flight,5,4,3,53,2182,1
B,Ship,6,3,3,7,4620,1
A,Ship,6,4,4,6,1461,0
B,Flight,3,4,3,2,4875,0
D,Flight,6,4,3,7,3175,1
F,Ship,5,1,3,9,4660,0
A,Ship,4,5,2,9,4157,0
F,Ship,4,4,3,8,5944,1
F,Flight,4,1,5,6,4573,1
A,Ship,4,2,2,37,3523,1
A,Flight,3,4,3,11,1861,1
B,Flight,4,3,3,4,5068,1
D,Ship,3,5,3,10,2277,1
F,Ship,4,3,3,4,5748,1
D,Ship,3,4,3,1,4273,1
C,Ship,5,2,2,58,2758,1
D,Ship,5,5,6,10,1986,0
B,Ship,4,4,8,46,3345,1
B,Flight,4,1,3,23,3652,1
A,Ship,3,3,2,2,5625,0
B,Ship,4,1,5,1,5463,1
F,Ship,4,4,3,29,1188,1
A,Flight,5,2,4,6,4155,1
B,Ship,5,1,3,10,1014,1
F,Ship,3,1,8,4,4290,0
B,Ship,6,2,4,5,1791,1
F,Flight,3,4,3,5,4310,1
F,Flight,4,4,3,2,4140,0
A,Ship,3,1,2,8,5375,0
D,Ship,4,3,2,29,1809,1
D,Road,4,2,2,2,4013,1
B,Flight,4,1,7,5,4104,1
D,Road,4,3,2,2,4308,0
C,Flight,6,2,2,40,1014,1
A,Ship,4,5,4,14,3099,1
C,Ship,4,5,3,16,2245,1
F,Ship,5,3,2,3,5261,0
F,Road,3,3,2,53,2323,1
A,Ship,3,1,3,5,4538,0
A,Ship,5,3,5,8,1862,0
B,Ship,4,2,2,3,4715,1
B,Ship,4,3,3,45,3761,1
C,Ship,3,1,2,6,5274,1
F,Ship,3,5,3,6,5603,0
D,Ship,4,4,3,20,1523,1
A,Road,4,1,3,7,4813,1
F,Ship,4,4,7,3,5646,1
F,Ship,4,4,6,8,1175,0
C,Ship,3,1,2,6,5355,0
A,Ship,5,1,8,18,3806,1
D,Ship,3,2,4,8,5511,0
A,Road,5,4,4,7,5359,1
F,Ship,3,3,4,3,4316,0
